Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.56     0.00        1     0.00     8.68  compute_delta_io_to_io
  0.00      0.56     0.00        1     0.00     0.00  compute_net_pin_index_values
  0.00      0.56     0.00        1     0.00     0.00  count_connections
  0.00      0.56     0.00        1     0.00     0.00  ezxml_new
  0.00      0.56     0.00        1     0.00     0.00  ezxml_parse_fd
  0.00      0.56     0.00        1     0.00     0.00  ezxml_parse_file
  0.00      0.56     0.00        1     0.00     0.00  ezxml_parse_str
  0.00      0.56     0.00        1     0.00     0.00  ezxml_str2utf8
  0.00      0.56     0.00        1     0.00     0.00  free_and_reset_internal_structures
  0.00      0.56     0.00        1     0.00     0.00  free_chunk_memory
  0.00      0.56     0.00        1     0.00     0.00  free_fanout_counts
  0.00      0.56     0.00        1     0.00     0.00  free_int_list
  0.00      0.56     0.00        1     0.00     0.00  free_pin_mappings
  0.00      0.56     0.00        1     0.00     0.00  free_route_structs
  0.00      0.56     0.00        1     0.00     0.00  free_route_tree_timing_structs
  0.00      0.56     0.00        1     0.00     5.00  free_routing_structs
  0.00      0.56     0.00        1     0.00     0.00  free_rr_node_route_structs
  0.00      0.56     0.00        1     0.00     0.00  free_sblock_pattern_lookup
  0.00      0.56     0.00        1     0.00     0.00  free_seg_details
  0.00      0.56     0.00        1     0.00     0.00  free_timing_driven_route_structs
  0.00      0.56     0.00        1     0.00     0.00  free_trace_structs
  0.00      0.56     0.00        1     0.00     0.00  free_type_pin_to_track_map
  0.00      0.56     0.00        1     0.00     0.00  free_type_track_to_ipin_map
  0.00      0.56     0.00        1     0.00     0.00  get_delay_normalization_fac
  0.00      0.56     0.00        1     0.00     0.00  get_longest_segment_length
  0.00      0.56     0.00        1     0.00     0.00  get_max_pins_per_net
  0.00      0.56     0.00        1     0.00     0.00  get_seg_track_counts
  0.00      0.56     0.00        1     0.00     0.00  init_draw_coords
  0.00      0.56     0.00        1     0.00     0.00  init_route_structs
  0.00      0.56     0.00        1     0.00     0.00  initial_placement
  0.00      0.56     0.00        1     0.00     0.00  load_route_bb
  0.00      0.56     0.00        1     0.00     0.00  load_rr_indexed_data_base_costs
  0.00      0.56     0.00        1     0.00     0.00  load_simplified_device
  0.00      0.56     0.00        1     0.00     0.00  load_subblock_info_to_type
  0.00      0.56     0.00        1     0.00     0.00  my_fopen
  0.00      0.56     0.00        1     0.00     0.00  my_srandom
  0.00      0.56     0.00        1     0.00   550.01  place_and_route
  0.00      0.56     0.00        1     0.00    10.00  read_netlist
  0.00      0.56     0.00        1     0.00     0.00  recompute_bb_cost
  0.00      0.56     0.00        1     0.00     0.00  reset_placement
  0.00      0.56     0.00        1     0.00     0.00  restore_original_device
  0.00      0.56     0.00        1     0.00    10.00  rr_graph_externals
